family,strategy,top_k,triple_intersection,triple_union,triple_jaccard,cat_attr_jaccard,cat_rel_jaccard,attr_rel_jaccard,cat_attr_restricted_cos,cat_rel_restricted_cos,attr_rel_restricted_cos
headnorm_contrast_l0p5,hybrid,32,5,79,0.06329113924050633,0.23076923076923078,0.0847457627118644,0.0847457627118644,-0.003962220801254969,-0.2657854261680551,-0.2170390168319318
headnorm_contrast_l0p5,specificity_cos,32,5,78,0.0641025641025641,0.23076923076923078,0.0847457627118644,0.10344827586206896,0.007458401283790263,-0.28454110073092964,-0.2192181970808917
headnorm_contrast_l0p25,hybrid,32,7,71,0.09859154929577464,0.391304347826087,0.12280701754385964,0.12280701754385964,0.35886684748696496,0.10985033116165659,0.18295816270062795
headnorm_contrast_l0p25,specificity_cos,32,7,71,0.09859154929577464,0.391304347826087,0.12280701754385964,0.12280701754385964,0.35886684748696496,0.10985033116165659,0.18295816270062795
contrast_l0p5,hybrid,32,7,70,0.1,0.3333333333333333,0.12280701754385964,0.18518518518518517,0.12158289197187068,-0.24553026328653718,-0.11231322343150013
pca_remove3,hybrid,32,8,69,0.11594202898550725,0.18518518518518517,0.18518518518518517,0.30612244897959184,-0.13686091522098884,-0.23914828174532546,-0.0068078322709214595
pca_remove5,hybrid,32,8,69,0.11594202898550725,0.18518518518518517,0.18518518518518517,0.30612244897959184,-0.13686091522098884,-0.23914828174532546,-0.0068078322709214595
headnorm_contrast_l0p75,norm,32,8,66,0.12121212121212122,0.23076923076923078,0.30612244897959184,0.20754716981132076,-0.20639965444827152,-0.6499595475381821,-0.5424073394990033
pca_remove2,specificity_cos,32,7,57,0.12280701754385964,0.12280701754385964,1.0,0.12280701754385964,-1.0000001167061874,0.9999971914484498,-0.9999988846742923
headnorm_contrast_l0p5,norm,32,11,62,0.1774193548387097,0.30612244897959184,0.391304347826087,0.23076923076923078,0.09447540921019759,-0.35571208482874683,-0.22550158629855133
headnorm_contrast_l0p25,norm,32,12,57,0.21052631578947367,0.30612244897959184,0.45454545454545453,0.3333333333333333,0.4335152900131479,0.038573301308740086,0.15422240224672748
pca_remove3,specificity_cos,32,13,57,0.22807017543859648,0.391304347826087,0.3333333333333333,0.391304347826087,-0.040090289084332355,-0.13579620689006677,0.516292486056742
pca_remove5,specificity_cos,32,13,57,0.22807017543859648,0.391304347826087,0.3333333333333333,0.391304347826087,-0.040090289084332355,-0.13579620689006677,0.516292486056742
global_residual,specificity_cos,32,14,58,0.2413793103448276,0.4883720930232558,0.30612244897959184,0.3333333333333333,-0.3256205369630851,-0.7514316955445777,-0.5284213885875021
contrast_l0p25,hybrid,32,14,57,0.24561403508771928,0.5609756097560976,0.3333333333333333,0.28,0.4668781991219797,0.1556324630703196,0.310646520061463
contrast_l1,specificity_cos,32,15,58,0.25862068965517243,0.4883720930232558,0.30612244897959184,0.3617021276595745,-0.31997320899571674,-0.7538305945647134,-0.5332867858568111
pca_remove1,specificity_cos,32,15,58,0.25862068965517243,0.4883720930232558,0.30612244897959184,0.3617021276595745,-0.36090823536054206,-0.7457693652566141,-0.5053907420256618
contrast_l0p75,specificity_cos,32,15,57,0.2631578947368421,0.45454545454545453,0.3333333333333333,0.391304347826087,-0.09162505539282789,-0.5859810556601789,-0.34555465574555927
raw,hybrid,32,15,54,0.2777777777777778,0.6842105263157895,0.3333333333333333,0.30612244897959184,0.69525398504838,0.5036492034297516,0.6046579806143706
contrast_l0p5,norm,32,16,51,0.3137254901960784,0.4222222222222222,0.4883720930232558,0.4883720930232558,0.48765703301983937,0.03248512935019378,0.26325987989553173
contrast_l0p25,specificity_cos,32,17,53,0.32075471698113206,0.6,0.391304347826087,0.391304347826087,0.5600674991808352,0.2462289465489378,0.41871360786629375
contrast_l0p5,specificity_cos,32,17,53,0.32075471698113206,0.5609756097560976,0.391304347826087,0.4222222222222222,0.27441734905319576,-0.18525525347093139,0.047409856773291785
raw,specificity_cos,32,17,53,0.32075471698113206,0.6410256410256411,0.391304347826087,0.3617021276595745,0.7532043172766592,0.5602368134732845,0.6709487883754968
pca_remove3,norm,32,18,50,0.36,0.4222222222222222,0.45454545454545453,0.6410256410256411,0.09818544990030911,0.011528989380837093,0.5830302998482645
pca_remove5,norm,32,18,50,0.36,0.4222222222222222,0.45454545454545453,0.6410256410256411,0.09818544990030911,0.011528989380837093,0.5830302998482645
contrast_l0p75,norm,32,20,48,0.4166666666666667,0.5238095238095238,0.5609756097560976,0.5609756097560976,0.03800970640700477,-0.5562233734281413,-0.31807551993467803
contrast_l0p25,norm,32,19,44,0.4318181818181818,0.5609756097560976,0.5609756097560976,0.6410256410256411,0.7720962463127264,0.5117158305837578,0.6647643123977081
contrast_l0p25,contrast_norm,32,20,45,0.4444444444444444,0.4883720930232558,0.7297297297297297,0.5609756097560976,0.6470089092333959,0.289690034013121,0.465461090957691
contrast_l0p5,contrast_norm,32,20,45,0.4444444444444444,0.4883720930232558,0.7297297297297297,0.5609756097560976,0.3705333017651167,-0.1637947139540205,0.08707712960862733
contrast_l0p75,contrast_norm,32,20,45,0.4444444444444444,0.4883720930232558,0.7297297297297297,0.5609756097560976,0.00412356500467476,-0.6080538126382171,-0.33860917333492113
contrast_l1,contrast_norm,32,20,45,0.4444444444444444,0.4883720930232558,0.7297297297297297,0.5609756097560976,-0.22488699688605612,-0.7573412327005601,-0.5286699379972397
contrast_l1,norm,32,20,45,0.4444444444444444,0.4883720930232558,0.7297297297297297,0.5609756097560976,-0.22488699688605612,-0.7573412327005601,-0.5286699379972397
raw,contrast_norm,32,20,45,0.4444444444444444,0.4883720930232558,0.7297297297297297,0.5609756097560976,0.8081306011721635,0.5993134642227326,0.705201653907357
pca_remove1,contrast_norm,32,22,44,0.5,0.5609756097560976,0.7297297297297297,0.6,-0.2735588603557444,-0.7512487643654583,-0.5007588614396127
